6	9	13	14	13	13	13	13	9	13
8	3	3	1	3	3	3	3	3	3
6	15	3	15	3	3	3	3	15	3
14	14	9	7	9	9	9	9	14	9
8	17	17	15	17	17	17	17	17	17
7	17	1	12	1	1	1	1	17	1
10	7	10	16	10	10	10	10	7	10
14	10	8	6	8	8	8	8	10	8
11	20	1	17	1	1	1	1	20	1
6	13	13	11	13	13	13	13	13	13
10	6	10	9	9	6	14	9	14	17
17	8	17	3	19	8	1	3	1	18
9	6	9	15	1	6	15	15	15	6
17	14	17	14	9	14	7	14	7	17
20	8	20	17	9	8	15	17	15	15
15	7	15	17	1	7	12	17	12	9
3	10	3	7	6	10	16	7	16	5
14	14	14	10	1	14	6	10	6	6
10	11	10	20	8	11	17	20	17	19
15	6	15	13	12	6	11	13	11	6
13	9	13	13	14	14	13	20	20	9
3	3	3	3	1	1	3	3	3	3
3	15	3	3	15	15	3	1	1	15
9	14	9	9	7	7	9	6	6	14
17	17	17	17	15	15	17	16	16	17
1	17	1	1	12	12	1	11	11	17
10	7	10	10	16	16	10	17	17	7
8	10	8	8	6	6	8	9	9	10
1	20	1	1	17	17	1	8	8	20
13	13	13	13	11	11	13	9	9	13
10	20	9	10	9	10	13	13	14	14
17	3	3	17	19	17	3	3	1	1
9	1	15	9	1	9	3	3	15	15
17	6	14	17	9	17	9	9	7	7
20	16	17	20	9	20	17	17	15	15
15	11	17	15	1	15	1	1	12	12
3	17	7	3	6	3	10	10	16	16
14	9	10	14	1	14	8	8	6	6
10	8	20	10	8	10	1	1	17	17
15	9	13	15	12	15	13	13	11	11
10	14	10	9	13	9	13	13	9	9
17	1	17	3	3	3	3	3	19	3
9	15	9	15	3	15	3	3	1	15
17	7	17	14	9	14	9	9	9	14
20	15	20	17	17	17	17	17	9	17
15	12	15	17	1	17	1	1	1	17
3	16	3	7	10	7	10	10	6	7
14	6	14	10	8	10	8	8	1	10
10	17	10	20	1	20	1	1	8	20
15	11	15	13	13	13	13	13	12	13
13	20	14	11	9	14	14	9	9	9
3	3	1	5	3	1	1	3	3	19
3	1	15	7	15	15	15	15	15	1
9	6	7	13	14	7	7	14	14	9
17	16	15	1	17	15	15	17	17	9
1	11	12	1	17	12	12	17	17	1
10	17	16	11	7	16	16	7	7	6
8	9	6	3	10	6	6	10	10	1
1	8	17	11	20	17	17	20	20	8
13	9	11	17	13	11	11	13	13	12
14	14	14	9	14	9	20	9	13	10
1	1	1	3	1	3	3	19	3	17
15	15	15	15	15	15	1	1	3	9
7	7	7	14	7	14	6	9	9	17
15	15	15	17	15	17	16	9	17	20
12	12	12	17	12	17	11	1	1	15
16	16	16	7	16	7	17	6	10	3
6	6	6	10	6	10	9	1	8	14
17	17	17	20	17	20	8	8	1	10
11	11	11	13	11	13	9	12	13	15
9	3	13	20	14	14	14	14	13	13
19	4	3	3	1	1	1	1	3	3
1	8	3	1	15	15	15	15	3	3
9	1	9	6	7	7	7	7	9	9
9	2	17	16	15	15	15	15	17	17
1	12	1	11	12	12	12	12	1	1
6	17	10	17	16	16	16	16	10	10
1	17	8	9	6	6	6	6	8	8
8	12	1	8	17	17	17	17	1	1
12	4	13	9	11	11	11	11	13	13
6	10	20	9	9	9	13	13	9	13
8	17	3	3	3	19	3	3	3	3
6	9	1	15	15	1	3	3	15	3
14	17	6	14	14	9	9	9	14	9
8	20	16	17	17	9	17	17	17	17
7	15	11	17	17	1	1	1	17	1
10	3	17	7	7	6	10	10	7	10
14	14	9	10	10	1	8	8	10	8
11	10	8	20	20	8	1	1	20	1
6	15	9	13	13	12	13	13	13	13
14	9	9	10	13	9	9	6	13	14
1	3	19	17	3	3	3	8	3	1
15	15	1	9	3	15	15	6	3	15
7	14	9	17	9	14	14	14	9	7
15	17	9	20	17	17	17	8	17	15
12	17	1	15	1	17	17	7	1	12
16	7	6	3	10	7	7	10	10	16
6	10	1	14	8	10	10	14	8	6
17	20	8	10	1	20	20	11	1	17
11	13	12	15	13	13	13	6	13	11
